fundISINCode,nav,currency,fqNav,fundAssetsSize,returnRatio1D,returnRatio1W,returnRatio1M,returnRatio3M,returnRatio6M,returnRatio1Y,returnRatioYTD,ReturnRatio3Y,returnRatioTotal,sevenRR,unitYield,reportDate
HK0000038148,22.28,USD,22.28,,0.004056,0.017352,-0.027499,-0.04827,-0.134757,-0.049488,-0.087259,0.573446,1.228,,,2021/12/28
HK0000489945,10.0342,HKD,10.0342,,0,-0.00002,-0.000339,-0.000677,0.000229,-0.000389,-0.000379,0.00342,0.00342,-0.001039,0,2021/12/28
LU0210533765,30.95,USD,30.95,642353580.2,0.006831,0.057036,-0.016524,-0.000646,-0.013389,0.135363,0.11612,0.928349,2.095,,,2021/12/28
LU0256840447,340.43,EUR,340.43,2121715136,0.011799,0.042601,0.022957,0.038213,0.051424,0.208656,0.204295,0.784131,2.802413,,,2021/12/28
