fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
"IE00B464Q616","189099","Abhijeet Neogy","2016-08-01","","2022-01-07"
"IE00B464Q616","80521","张冠邦","2020-01-17","","2022-01-07"
"IE00B5TLWC47","169350","Not Disclosed","2016-09-01","","2022-01-07"
"IE00B7JY6H00","116625","William Fong","2004-09-17","","2022-01-07"
"IE00B7JY6H00","146184","Nicola Lai","2011-01-18","","2022-01-07"
"IE00BDCJY700","147398","Jeffrey Burger","2020-11-02","","2022-01-07"
"IE00BDCJY700","94979","Thomas Casey","2017-04-19","","2022-01-07"
"IE00BF47CT44","199228","Luca Evangelista","2020-07-01","","2022-01-07"
"IE00BFM0L103","154704","Scott Roth","2011-01-28","","2022-01-07"
"IE00BFM0L103","154709","Sean Feeley","2011-01-28","","2022-01-07"
"IE00BFM0L103","183667","Craig Abouchar","2016-05-09","","2022-01-07"
"IE00BFM0L103","188865","Chris Sawyer","2016-03-08","","2022-01-07"
"IE00BFM0L103","197857","Kelly Burton","2017-07-01","","2022-01-07"
"IE00BFM0L210","154704","Scott Roth","2011-01-28","","2022-01-07"
"IE00BFM0L210","154709","Sean Feeley","2011-01-28","","2022-01-07"
"IE00BFM0L210","183667","Craig Abouchar","2016-05-09","","2022-01-07"
"IE00BFM0L210","188865","Chris Sawyer","2016-03-08","","2022-01-07"
"IE00BFM0L210","197857","Kelly Burton","2017-07-01","","2022-01-07"
"IE00BFMH9K60","156943","Ricardo Adrogué","2015-09-10","","2022-01-07"
"IE00BFMH9K60","162976","Cem Karacadag","2015-09-10","","2022-01-07"
"IE00BFMH9L77","156943","Ricardo Adrogué","2015-09-10","","2022-01-07"
"IE00BFMH9L77","162976","Cem Karacadag","2015-09-10","","2022-01-07"
"IE00BGSXQR19","169685","Mohit Mittal","2019-02-14","","2022-01-07"
"IE00BGSXQR19","189099","Abhijeet Neogy","2019-02-14","","2022-01-07"
"IE00BGSXQR19","80521","张冠邦","2019-02-14","","2022-01-07"
"IE00BGSXQS26","169685","Mohit Mittal","2019-02-14","","2022-01-07"
"IE00BGSXQS26","189099","Abhijeet Neogy","2019-02-14","","2022-01-07"
"IE00BGSXQS26","80521","张冠邦","2019-02-14","","2022-01-07"
"IE00BGSXSD13","169685","Mohit Mittal","2019-02-14","","2022-01-07"
"IE00BGSXSD13","189099","Abhijeet Neogy","2019-02-14","","2022-01-07"
"IE00BGSXSD13","80521","张冠邦","2019-02-14","","2022-01-07"
"IE00BKBMHV44","156943","Ricardo Adrogué","2015-09-10","","2022-01-07"
"IE00BKBMHV44","162976","Cem Karacadag","2015-09-10","","2022-01-07"
"IE00BKBMHW50","156943","Ricardo Adrogué","2015-09-10","","2022-01-07"
"IE00BKBMHW50","162976","Cem Karacadag","2015-09-10","","2022-01-07"
"IE00BN15GC88","169685","Mohit Mittal","2019-05-31","","2022-01-07"
"IE00BN15GC88","189099","Abhijeet Neogy","2016-08-01","","2022-01-07"
"IE00BN15GC88","80521","张冠邦","2020-01-17","","2022-01-07"
"IE00BN15GG27","169685","Mohit Mittal","2019-05-31","","2022-01-07"
"IE00BN15GG27","189099","Abhijeet Neogy","2016-08-01","","2022-01-07"
"IE00BN15GG27","80521","张冠邦","2020-01-17","","2022-01-07"
"IE00BYVJR809","183286","Ned Naylor-Leyland","2016-03-08","","2022-01-07"
"IE00BYVJRD56","183286","Ned Naylor-Leyland","2016-03-08","","2022-01-07"
"IE00BZ199S13","169350","Not Disclosed","2019-12-02","","2022-01-07"
"KYG9319N1097","169350","Not Disclosed","2012-03-27","","2022-01-07"
"KYG9319N1170","169350","Not Disclosed","2012-03-27","","2022-01-07"
"KYG9319N1253","169350","Not Disclosed","2012-03-27","","2022-01-07"
"KYG9319N1337","169350","Not Disclosed","2012-03-27","","2022-01-07"
"LU0011847091","118466","Nick Little","2013-10-01","","2022-01-07"
"LU0011850046","165240","Andrew Wheatley-Hubbard","2017-04-04","","2022-01-07"
"LU0011850046","197280","Molly Greenen","2020-02-01","","2022-01-07"
"LU0040709171","110492","Laurent Saltiel","2012-03-01","","2022-01-07"
"LU0040709171","130210","Guojia Zhang","2014-07-31","","2022-01-07"
"LU0040709171","155299","Sergey Davalchenko","2012-03-31","","2022-01-07"
