fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
"HK0000105533","158733","何少燕","2018-02-26","","2021-12-21"
"HK0000105533","183644","彭逸升","2018-02-26","","2021-12-21"
"HK0000105533","189069","CallegariJulio","2020-08-10","","2021-12-21"
"HK0000123940","106752","Pauline Ng","2005-06-01","","2021-12-21"
"HK0000123940","163118","Desmond Loh","2019-06-03","","2021-12-21"
"HK0000123940","165064","Stacey Neo","2019-06-03","","2021-12-21"
"HK0000123940","165065","Changqi Ong","2013-04-01","","2021-12-21"
"HK0000130705","169350","Not Disclosed","2012-11-16","","2021-12-21"
"HK0000161320","99021","何旻","2021-07-15","","2021-12-21"
"HK0000181096","169350","Not Disclosed","2014-03-03","","2021-12-21"
"HK0000181112","169350","Not Disclosed","2014-03-03","","2021-12-21"
"HK0000181138","169350","Not Disclosed","2014-03-03","","2021-12-21"
"HK0000216926","109353","Denis Gould","2014-11-21","","2021-12-21"
"HK0000216942","109353","Denis Gould","2014-11-21","","2021-12-21"
"HK0000252152","169350","Not Disclosed","2015-10-23","","2021-12-21"
"HK0000252160","169350","Not Disclosed","2015-10-23","","2021-12-21"
"HK0000264884","115724","苏俊祺","2004-01-01","","2021-12-21"
"HK0000283223","169350","Not Disclosed","2016-03-21","","2021-12-21"
"HK0000284015","169350","Not Disclosed","2016-05-09","","2021-12-21"
"HK0000294535","197543","Patrick Song","2018-02-05","","2021-12-21"
"HK0000301942","196394","Jane Cai","2017-04-18","","2021-12-21"
"HK0000301942","205294","Ziyun WANG","2020-12-31","","2021-12-21"
"HK0000306685","7316","Jim Chen","2017-02-15","","2021-12-21"
"HK0000306701","7316","Jim Chen","2017-02-15","","2021-12-21"
"HK0000312378","169350","Not Disclosed","2016-11-16","","2021-12-21"
"HK0000312386","169350","Not Disclosed","2016-11-16","","2021-12-21"
"HK0000316452","169350","Not Disclosed","2012-11-16","","2021-12-21"
"HK0000320223","7316","Jim Chen","2017-02-15","","2021-12-21"
"HK0000320264","7316","Jim Chen","2017-02-15","","2021-12-21"
"HK0000323219","99021","何旻","2021-07-15","","2021-12-21"
"HK0000349503","117371","MuiAlfred","2021-02-01","","2021-12-21"
"HK0000349503","178316","林嘉铭","2021-10-20","","2021-12-21"
"HK0000349511","117371","MuiAlfred","2021-02-01","","2021-12-21"
"HK0000349511","178316","林嘉铭","2021-10-20","","2021-12-21"
"HK0000349529","117371","MuiAlfred","2021-02-01","","2021-12-21"
"HK0000349529","178316","林嘉铭","2021-10-20","","2021-12-21"
"HK0000349545","117371","MuiAlfred","2011-05-20","","2021-12-21"
"HK0000349545","178316","林嘉铭","2021-02-01","","2021-12-21"
"HK0000349552","117371","MuiAlfred","2011-05-20","","2021-12-21"
"HK0000349552","178316","林嘉铭","2021-02-01","","2021-12-21"
"HK0000349560","117371","MuiAlfred","2011-05-20","","2021-12-21"
"HK0000349560","178316","林嘉铭","2021-02-01","","2021-12-21"
"HK0000349578","117371","MuiAlfred","2011-05-20","","2021-12-21"
"HK0000349578","178316","林嘉铭","2021-02-01","","2021-12-21"
"HK0000360880","115724","苏俊祺","2004-01-01","","2021-12-21"
"HK0000360898","115724","苏俊祺","2004-01-01","","2021-12-21"
"HK0000369188","197543","Patrick Song","2018-02-05","","2021-12-21"
"HK0000369196","197543","Patrick Song","2018-02-05","","2021-12-21"
"HK0000369725","132964","郭为熹","2015-05-27","","2021-12-21"
"HK0000369725","79560","DavidsMark","2015-05-27","","2021-12-21"
"HK0000383858","169350","Not Disclosed","2016-11-16","","2021-12-21"
"HK0000416062","125615","CoxOliver","2017-02-06","","2021-12-21"
"HK0000416062","132964","郭为熹","2017-12-29","","2021-12-21"
"HK0000439601","196394","Jane Cai","2018-08-28","","2021-12-21"
"HK0000439601","205294","Ziyun WANG","2018-08-28","","2021-12-21"
"HK0000439627","196394","Jane Cai","2018-08-28","","2021-12-21"
"HK0000439627","205294","Ziyun WANG","2018-08-28","","2021-12-21"
"HK0000500386","169350","Not Disclosed","2015-10-23","","2021-12-21"
"HK0000554565","133191","Richard Jones","2013-07-01","","2021-12-21"
"HK0000554565","167960","Nigel Foo","2013-01-01","","2021-12-21"
"HK0000554565","206393","Fiona Kwok","2021-07-26","","2021-12-21"
"HK0000554565","206394","Clarissa Soputro","2021-09-22","","2021-12-21"
"HK0000554565","99743","刘国杰","2003-09-30","","2021-12-21"
"HK0000672128","169350","Not Disclosed","2016-12-16","","2021-12-21"
"HK0000672136","169350","Not Disclosed","2016-12-16","","2021-12-21"
"IE0000829568","195517","Brian Mangwiro","2020-02-21","","2021-12-21"
"IE0008368742","176098","Winston Ke","2002-05-01","","2021-12-21"
"IE0008368742","177531","Helen Chen","2014-12-31","","2021-12-21"
"IE0008368742","99743","刘国杰","2002-04-01","","2021-12-21"
"IE0008369823","133191","Richard Jones","2013-04-19","","2021-12-21"
"IE0008369823","207242","Tianyi Tang","2019-10-02","","2021-12-21"
"IE0008369823","99743","刘国杰","2002-04-30","","2021-12-21"
"IE00B0MD9M11","134112","Andrew Balls","2014-09-26","","2021-12-21"
"IE00B0MD9M11","148217","Lorenzo Pagani","2014-09-26","","2021-12-21"
"IE00B0MD9M11","157007","Sachin Gupta","2014-09-26","","2021-12-21"
"IE00B0MD9S72","166331","Javier Romo","2019-06-15","","2021-12-21"
"IE00B0MD9S72","185109","Pramol Dhawan","2019-06-15","","2021-12-21"
"IE00B0MD9S72","99490","Michael Gomez","2009-04-01","","2021-12-21"
"IE00B11XYX59","166331","Javier Romo","2019-06-15","","2021-12-21"
"IE00B11XYX59","185109","Pramol Dhawan","2019-06-15","","2021-12-21"
"IE00B11XYX59","99490","Michael Gomez","2009-04-01","","2021-12-21"
"IE00B11XZ210","134112","Andrew Balls","2014-09-26","","2021-12-21"
"IE00B11XZ210","148217","Lorenzo Pagani","2014-09-26","","2021-12-21"
"IE00B11XZ210","157007","Sachin Gupta","2014-09-26","","2021-12-21"
"IE00B11XZ871","186420","Sonali Pier","2019-07-31","","2021-12-21"
"IE00B11XZ871","7131","Andrew Jessop","2010-01-01","","2021-12-21"
"IE00B193MK07","149097","Eve Tournier","2010-04-30","","2021-12-21"
"IE00B193MK07","150783","Alfred Murata","2016-05-27","","2021-12-21"
"IE00B193MK07","186420","Sonali Pier","2017-11-01","","2021-12-21"
"IE00B193MK07","20034","Daniel Ivascyn","2016-05-27","","2021-12-21"
"IE00B193ML14","186420","Sonali Pier","2019-07-31","","2021-12-21"
"IE00B193ML14","195147","David Forgash","2019-04-01","","2021-12-21"
"IE00B193ML14","7131","Andrew Jessop","2010-01-01","","2021-12-21"
"IE00B193MN38","186420","Sonali Pier","2019-07-31","","2021-12-21"
"IE00B193MN38","7131","Andrew Jessop","2010-01-01","","2021-12-21"
"IE00B1D7YK27","149097","Eve Tournier","2010-04-30","","2021-12-21"
"IE00B1D7YK27","150783","Alfred Murata","2016-05-27","","2021-12-21"
"IE00B1D7YK27","186420","Sonali Pier","2017-11-01","","2021-12-21"
"IE00B1D7YK27","20034","Daniel Ivascyn","2016-05-27","","2021-12-21"
"IE00B1D7YM41","186420","Sonali Pier","2019-07-31","","2021-12-21"
"IE00B1D7YM41","195147","David Forgash","2019-04-01","","2021-12-21"
"IE00B1D7YM41","7131","Andrew Jessop","2010-01-01","","2021-12-21"
"IE00B3BC9V92","132256","Soo-Hai Lim","2018-06-08","","2021-12-21"
"IE00B3BC9V92","191395","Eunice Hong","2018-06-08","","2021-12-21"
"IE00B3BC9V92","194778","Kuldeep Khanapurkar","2019-06-01","","2021-12-21"
"IE00B464Q616","169685","Mohit Mittal","2019-05-31","","2021-12-21"
"IE00B464Q616","189099","Abhijeet Neogy","2016-08-01","","2021-12-21"
"IE00B464Q616","80521","张冠邦","2020-01-17","","2021-12-21"
"IE00B5TLWC47","169350","Not Disclosed","2016-09-01","","2021-12-22"
"IE00B7JY6H00","116625","William Fong","2004-09-17","","2021-12-21"
"IE00B7JY6H00","146184","Nicola Lai","2011-01-18","","2021-12-21"
"IE00BDCJY700","147398","Jeffrey Burger","2020-11-02","","2021-12-22"
"IE00BDCJY700","94979","Thomas Casey","2017-04-19","","2021-12-22"
"IE00BFM0L103","154704","Scott Roth","2011-01-28","","2021-12-21"
"IE00BFM0L103","154709","Sean Feeley","2011-01-28","","2021-12-21"
"IE00BFM0L103","183667","Craig Abouchar","2016-05-09","","2021-12-21"
"IE00BFM0L103","188865","Chris Sawyer","2016-03-08","","2021-12-21"
"IE00BFM0L103","197857","Kelly Burton","2017-07-01","","2021-12-21"
"IE00BFM0L210","154704","Scott Roth","2011-01-28","","2021-12-21"
"IE00BFM0L210","154709","Sean Feeley","2011-01-28","","2021-12-21"
"IE00BFM0L210","183667","Craig Abouchar","2016-05-09","","2021-12-21"
"IE00BFM0L210","188865","Chris Sawyer","2016-03-08","","2021-12-21"
"IE00BFM0L210","197857","Kelly Burton","2017-07-01","","2021-12-21"
"IE00BFMH9K60","156943","Ricardo Adrogué","2015-09-10","","2021-12-21"
"IE00BFMH9K60","162976","Cem Karacadag","2015-09-10","","2021-12-21"
"IE00BFMH9L77","156943","Ricardo Adrogué","2015-09-10","","2021-12-21"
"IE00BFMH9L77","162976","Cem Karacadag","2015-09-10","","2021-12-21"
"IE00BGSXQR19","169685","Mohit Mittal","2019-02-14","","2021-12-21"
"IE00BGSXQR19","189099","Abhijeet Neogy","2019-02-14","","2021-12-21"
"IE00BGSXQR19","80521","张冠邦","2019-02-14","","2021-12-21"
"IE00BGSXQS26","169685","Mohit Mittal","2019-02-14","","2021-12-21"
"IE00BGSXQS26","189099","Abhijeet Neogy","2019-02-14","","2021-12-21"
"IE00BGSXQS26","80521","张冠邦","2019-02-14","","2021-12-21"
"IE00BGSXSD13","169685","Mohit Mittal","2019-02-14","","2021-12-21"
"IE00BGSXSD13","189099","Abhijeet Neogy","2019-02-14","","2021-12-21"
"IE00BGSXSD13","80521","张冠邦","2019-02-14","","2021-12-21"
"IE00BKBMHV44","156943","Ricardo Adrogué","2015-09-10","","2021-12-21"
"IE00BKBMHV44","162976","Cem Karacadag","2015-09-10","","2021-12-21"
"IE00BKBMHW50","156943","Ricardo Adrogué","2015-09-10","","2021-12-21"
"IE00BKBMHW50","162976","Cem Karacadag","2015-09-10","","2021-12-21"
"IE00BN15GC88","169685","Mohit Mittal","2019-05-31","","2021-12-21"
"IE00BN15GC88","189099","Abhijeet Neogy","2016-08-01","","2021-12-21"
"IE00BN15GC88","80521","张冠邦","2020-01-17","","2021-12-21"
"IE00BN15GG27","169685","Mohit Mittal","2019-05-31","","2021-12-21"
"IE00BN15GG27","189099","Abhijeet Neogy","2016-08-01","","2021-12-21"
"IE00BN15GG27","80521","张冠邦","2020-01-17","","2021-12-21"
"IE00BYVJRD56","183286","Ned Naylor-Leyland","2016-03-08","","2021-12-21"
"IE00BZ199S13","169350","Not Disclosed","2019-12-02","","2021-12-22"
"KYG9319N1097","169350","Not Disclosed","2012-03-27","","2021-12-21"
"KYG9319N1170","169350","Not Disclosed","2012-03-27","","2021-12-21"
"KYG9319N1253","169350","Not Disclosed","2012-03-27","","2021-12-21"
"KYG9319N1337","169350","Not Disclosed","2012-03-27","","2021-12-21"
"LU0011847091","118466","Nick Little","2013-10-01","","2021-12-21"
"LU0047713382","180629","Gordon Fraser","2017-03-29","","2021-12-21"
"LU0047713382","198010","Kevin Jia","2020-04-01","","2021-12-21"
"LU0052864419","151037","Ido Cohen","2011-05-02","","2021-12-22"
"LU0052864419","84919","Juan Hartsfield","2009-01-23","","2021-12-22"
"LU0053666078","75119","Timothy Parton","2017-02-17","","2021-12-21"
"LU0053666078","9310","Jonathan Simon","2014-01-31","","2021-12-21"
"LU0056508442","107978","Tony Kim","2017-07-03","","2021-12-21"
"LU0082616367","185350","Joseph Wilson","2017-02-17","","2021-12-21"
"LU0082616367","206756","Eric Ghernati","2021-05-31","","2021-12-21"
"LU0089639750","161002","Caroline Keen","2020-01-31","","2021-12-21"
"LU0089639750","80986","Alex Stanic","2017-08-24","","2021-12-21"
"LU0093502762","132164","Andreas Zoellinger","2007-11-01","","2021-12-21"
"LU0093502762","193309","Tom Joy","2019-02-01","","2021-12-21"
"LU0093503497","178903","Conan McKenzie","2018-05-01","","2021-12-21"
"LU0093503497","190569","Jason Byrom","2018-05-01","","2021-12-21"
"LU0104030142","104992","Jonathan Ingram","2007-03-01","","2021-12-21"
"LU0104030142","106872","John Baker","2007-03-01","","2021-12-21"
"LU0104030142","193992","Alex Whyte","2019-04-01","","2021-12-21"
"LU0119062650","104992","Jonathan Ingram","2007-03-01","","2021-12-21"
"LU0119062650","106872","John Baker","2005-02-01","","2021-12-21"
"LU0119062650","170385","Blake Crawford","2019-04-01","","2021-12-21"
"LU0122379950","75178","Erin Xie","2011-04-01","","2021-12-21"
"LU0154237225","160663","Scott MacLellan","2013-01-01","","2021-12-21"
"LU0154237225","75613","Thomas Musmanno","2008-07-01","","2021-12-21"
"LU0210528500","75119","Timothy Parton","2017-02-17","","2021-12-21"
"LU0210528500","9310","Jonathan Simon","2014-01-31","","2021-12-21"
"LU0210529656","119482","Leon Eidelman","2013-02-15","","2021-12-21"
"LU0210529656","99410","Austin Forey","1997-01-07","","2021-12-21"
"LU0210532015","104992","Jonathan Ingram","2007-03-01","","2021-12-21"
"LU0210532015","106872","John Baker","2007-03-01","","2021-12-21"
"LU0210532015","193992","Alex Whyte","2019-04-01","","2021-12-21"
"LU0210533765","161002","Caroline Keen","2020-01-31","","2021-12-21"
"LU0210533765","80986","Alex Stanic","2017-08-24","","2021-12-21"
"LU0224105477","187579","Giles Rothbarth","2019-02-01","","2021-12-21"
"LU0238689110","179644","Russ Koesterich","2017-01-31","","2021-12-21"
"LU0238689110","185834","David Clayton","2017-01-31","","2021-12-21"
"LU0256840447","166808","Andreas Hildebrand","2017-06-01","","2021-12-22"
"LU0256840447","197881","Darina Valkova","2020-05-12","","2021-12-22"
"LU0344579056","10024","Robert Cook","2004-06-01","","2021-12-21"
"LU0344579056","21156","Thomas Hauser","2004-06-01","","2021-12-21"
"LU0348784397","131660","Ian Lee","2014-03-01","","2021-12-22"
"LU0348784397","93906","Winchester Stuart","2000-01-01","","2021-12-22"
"LU0348814723","173873","Yuming Pan","2013-10-01","","2021-12-21"
"LU0348814723","8680","Raymond Chan","2013-10-01","","2021-12-21"
"LU0348816934","173873","Yuming Pan","2013-10-01","","2021-12-22"
"LU0348816934","8680","Raymond Chan","2013-10-01","","2021-12-22"
"LU0356780857","10024","Robert Cook","2004-06-01","","2021-12-21"
"LU0356780857","21156","Thomas Hauser","2004-06-01","","2021-12-21"
"LU0531876844","169350","Not Disclosed","2010-10-11","","2021-12-22"
"LU0545039389","165240","Andrew Wheatley-Hubbard","2013-01-01","","2021-12-21"
"LU0545039389","185474","Olivia Treharne","2020-02-01","","2021-12-21"
"LU0560541111","9312","Dean Cashman","2006-07-05","","2021-12-21"
"LU0689472784","154970","David Oberto","2017-01-01","","2021-12-21"
"LU0689472784","7480","Douglas Forsyth","2011-05-31","","2021-12-21"
"LU0689472784","75138","Justin Kass","2011-05-31","","2021-12-21"
"LU0689472784","9487","Michael Yee","2011-05-31","","2021-12-21"
"LU0708185235","169350","Not Disclosed","2011-01-21","","2021-12-22"
"LU0727847666","10024","Robert Cook","2004-06-01","","2021-12-21"
"LU0727847666","21156","Thomas Hauser","2004-06-01","","2021-12-21"
"LU0744789560","169350","Not Disclosed","2011-01-21","","2021-12-22"
"LU0762541174","109353","Denis Gould","2012-05-25","","2021-12-21"
"LU0762542818","109353","Denis Gould","2012-05-25","","2021-12-21"
"LU0815945547","147638","Helen Lam","2012-09-06","","2021-12-22"
"LU0815945547","191881","Wendy Lee","2018-09-17","","2021-12-22"
"LU0853555463","123789","Ariel Bezalel","2012-05-08","","2021-12-22"
"LU0863150172","75119","Timothy Parton","2017-02-17","","2021-12-21"
"LU0863150172","9310","Jonathan Simon","2014-01-31","","2021-12-21"
"LU0927678507","108555","Nicholas Weindling","2015-09-01","","2021-12-21"
"LU0927678507","119031","Shoichi Mizusawa","2015-09-01","","2021-12-21"
"LU0927678507","180806","Miyako Urabe","2015-09-01","","2021-12-21"
"LU0965088593","9312","Dean Cashman","2006-07-05","","2021-12-21"
"LU0987226023","104992","Jonathan Ingram","2007-03-01","","2021-12-21"
"LU0987226023","106872","John Baker","2005-02-01","","2021-12-21"
"LU0987226023","170385","Blake Crawford","2019-04-01","","2021-12-21"
"LU0987226296","104992","Jonathan Ingram","2007-03-01","","2021-12-21"
"LU0987226296","106872","John Baker","2005-02-01","","2021-12-21"
"LU0987226296","170385","Blake Crawford","2019-04-01","","2021-12-21"
"LU0992293067","123789","Ariel Bezalel","2012-05-08","","2021-12-22"
"LU1034075835","104992","Jonathan Ingram","2007-03-01","","2021-12-21"
"LU1034075835","106872","John Baker","2007-03-01","","2021-12-21"
"LU1034075835","193992","Alex Whyte","2019-04-01","","2021-12-21"
"LU1041599405","173067","J. Andrew Norelli","2014-06-02","","2021-12-21"
"LU1041599405","186826","Andrew Headley","2017-03-30","","2021-12-21"
"LU1041599405","21156","Thomas Hauser","2020-07-01","","2021-12-21"
"LU1097445909","169350","Not Disclosed","2010-10-11","","2021-12-22"
"LU1128926307","173067","J. Andrew Norelli","2014-06-02","","2021-12-21"
"LU1128926307","186826","Andrew Headley","2017-03-30","","2021-12-21"
"LU1128926307","21156","Thomas Hauser","2020-07-01","","2021-12-21"
"LU1128926489","173067","J. Andrew Norelli","2014-06-02","","2021-12-21"
"LU1128926489","186826","Andrew Headley","2017-03-30","","2021-12-21"
"LU1128926489","21156","Thomas Hauser","2020-07-01","","2021-12-21"
"LU1366192091","9487","Michael Yee","2016-04-05","","2021-12-21"
"LU1366192091","174445","Doug Forsyth","2016-04-05","","2021-12-21"
"LU1548497426","162016","James Chen","2017-03-31","","2021-12-22"
"LU1548497426","99402","Sebastian Thomas","2017-03-31","","2021-12-22"
"LU1775963454","156558","Tony Roberts","2018-09-07","","2021-12-22"
"LU1775963454","157336","William Lam","2018-09-07","","2021-12-22"
"LU1861215975","107978","Tony Kim","2018-09-04","","2021-12-21"
"LU1887442140","151037","Ido Cohen","2011-05-02","","2021-12-22"
"LU1887442140","84919","Juan Hartsfield","2009-01-23","","2021-12-22"
"LU1894109211","185350","Joseph Wilson","2017-02-17","","2021-12-21"
"LU1894109211","206756","Eric Ghernati","2021-05-31","","2021-12-21"
"LU2088747725","163120","Joanna Ong","2019-12-09","","2021-12-21"
"LU2088747998","163120","Joanna Ong","2019-12-09","","2021-12-21"
"LU2088748020","163120","Joanna Ong","2019-12-09","","2021-12-21"
"LU2088748293","163120","Joanna Ong","2019-12-09","","2021-12-21"
