fundISINCode,nav,currency,fqNav,fundAssetsSize,returnRatio1D,returnRatio1W,returnRatio1M,returnRatio3M,returnRatio6M,returnRatio1Y,returnRatioYTD,ReturnRatio3Y,returnRatioTotal,sevenRR,unitYield,reportDate
"HK0000012440","15.450000","USD","36.646030","","-0.013410","-0.013895","-0.011380","-0.022232","-0.052190","-0.052468","-0.013895","0.268368","2.664603","","","2022-01-06"
"HK0000012440","15.660000","USD","37.144130","380523117.77","-0.004450","0.001419","-0.003661","-0.013270","-0.039885","-0.042411","-0.000492","0.285608","2.714413","","","2022-01-05"
"HK0000038148","21.990000","USD","21.990000","","-0.002721","-0.009459","-0.017426","-0.027421","-0.122506","-0.121805","-0.009459","0.568474","1.199000","","","2022-01-06"
"HK0000038148","22.420000","USD","22.200000","875303376.25432","0.000000","0.000451","-0.016829","-0.044339","-0.133828","-0.090537","-0.090537","0.560084","1.220000","","","2021-12-31"
"HK0000055555","149.320000","USD","203.629420","","-0.005660","-0.011715","0.009123","-0.015624","0.021341","0.031358","-0.011715","0.138196","19.362942","","","2022-01-06"
"HK0000055555","151.090000","USD","206.043190","1328574631.22386","0.002388","0.007670","0.011447","0.012464","0.038205","0.051573","0.051573","0.170786","19.604319","","","2021-12-30"
"HK0000055597","9.790000","USD","20.212890","","-0.006091","-0.010708","-0.005707","-0.026452","-0.044080","-0.055177","-0.010708","0.090675","1.021289","","","2022-01-06"
"HK0000055597","9.890000","USD","20.431680","2300673826.78814","0.000000","0.001007","0.002016","-0.025477","-0.035569","-0.043194","-0.043194","0.104603","1.043168","","","2021-12-31"
"HK0000055621","75.550000","USD","75.550000","","-0.016532","-0.038926","-0.035491","-0.014737","-0.092165","-0.137852","-0.038926","1.341909","-0.043308","","","2022-01-06"
"HK0000055621","79.140000","USD","78.610000","1474082615.1","0.000000","0.000254","-0.004307","0.025170","-0.095813","-0.054600","-0.054600","1.414312","-0.004559","","","2021-12-31"
"HK0000055746","560.210000","USD","614.776050","","-0.019223","-0.018501","-0.012132","-0.010230","-0.061232","-0.034836","-0.018501","0.673118","254.199689","","","2022-01-06"
"HK0000055746","570.770000","USD","626.364620","922676601.96858","-0.000403","-0.001295","0.008677","-0.028228","-0.054375","-0.007391","-0.007391","0.691972","259.010220","","","2021-12-30"
"HK0000055761","110.270000","USD","110.270000","","-0.020258","-0.045281","-0.035596","-0.018251","-0.158373","-0.183488","-0.045281","1.102784","10.027000","","","2022-01-06"
"HK0000055761","115.500000","USD","115.500000","1433874981.87145","0.005134","0.002865","-0.028269","-0.017523","-0.150735","-0.116364","-0.122407","1.203778","10.550000","","","2021-12-30"
"HK0000084514","11.890000","USD","19.023620","","-0.003353","-0.004271","0.015220","0.021986","0.015142","0.080692","-0.004271","0.297587","0.902362","","","2022-01-06"
"HK0000084514","11.940000","USD","19.105220","6091171088.27351","0.000000","0.006723","0.031869","0.026369","0.021206","0.091050","0.091050","0.311941","0.910522","","","2021-12-31"
"HK0000084522","11.890000","HKD","19.043870","","-0.002517","-0.004268","0.015223","0.023723","0.019406","0.087327","-0.004268","0.292572","0.904387","","","2022-01-06"
"HK0000084522","11.930000","HKD","19.125490","6091171088.27351","0.000000","0.006722","0.031869","0.028110","0.025500","0.097781","0.097781","0.306831","0.912549","","","2021-12-31"
"HK0000095296","17.780000","USD","17.780000","","-0.002804","-0.003922","0.015420","0.021839","0.014840","0.080851","-0.003922","0.297810","0.778000","","","2022-01-06"
"HK0000095296","17.850000","USD","17.850000","6091171088.27351","0.000000","0.006768","0.031792","0.025862","0.021167","0.091076","0.091076","0.311536","0.785000","","","2021-12-31"
"HK0000099173","9.530000","CNH","12.636060","","-0.002094","-0.010385","-0.011411","-0.032453","-0.028533","-0.017628","-0.010385","-0.011857","0.263606","","","2022-01-06"
"HK0000099173","9.550000","CNH","12.662580","","-0.004171","-0.008308","-0.007277","-0.030422","-0.026494","-0.015567","-0.008308","-0.009783","0.266258","","","2022-01-05"
"HK0000102936","8.560000","HKD","13.145640","","-0.004651","-0.010570","-0.004845","-0.025385","-0.039941","-0.049131","-0.010570","0.086128","0.314564","","","2022-01-06"
"HK0000102936","8.640000","HKD","13.286080","2300673826.78814","0.000000","0.001152","0.003464","-0.022661","-0.030744","-0.037957","-0.037957","0.100140","0.328608","","","2021-12-31"
"HK0000105533","13.090000","USD","13.090000","","-0.005319","-0.010582","-0.005319","-0.026042","-0.043129","-0.054191","-0.010582","0.091743","0.309000","","","2022-01-06"
"HK0000105533","13.220000","USD","13.230000","2300673826.78814","0.000000","0.000756","0.003033","-0.025055","-0.034307","-0.041999","-0.041999","0.105263","0.323000","","","2021-12-31"
"HK0000123940","12.570000","HKD","12.570000","","-0.004751","-0.011792","0.008828","-0.014118","0.025285","0.037129","-0.011792","0.133454","0.257000","","","2022-01-06"
"HK0000123940","12.720000","HKD","12.720000","1328574631.22386","0.003155","0.007924","0.011933","0.014354","0.042623","0.058236","0.058236","0.165903","0.272000","","","2021-12-30"
"HK0000130705","21.348000","HKD","21.348000","","-0.016765","-0.031793","-0.027116","-0.023422","-0.093041","-0.175498","-0.031793","0.942493","1.134800","","","2022-01-06"
"HK0000151891","10.580000","USD","15.679990","","-0.012138","0.002361","0.027590","0.052957","-0.000503","0.069438","0.002361","0.336886","0.025603","","","2022-01-06"
"HK0000151891","10.580000","USD","15.643060","1317679622.32704","0.000000","0.005698","0.045410","0.032173","-0.008366","0.090274","0.090274","0.321986","0.023188","","","2021-12-31"
"HK0000161320","9.650000","HKD","11.117160","","-0.001655","-0.003819","-0.005769","-0.021695","-0.031905","-0.036822","-0.003819","0.050277","0.111716","","","2022-01-06"
"HK0000181096","16.410000","CNY","24.156020","","-0.006659","-0.022633","-0.030206","-0.004182","-0.015649","-0.015529","-0.022633","0.653558","1.415602","","","2022-01-06"
"HK0000181112","15.220000","HKD","23.286750","","-0.007823","-0.023733","-0.031264","0.011095","0.001550","-0.001330","-0.023733","0.773724","1.331006","","","2022-01-06"
"HK0000181138","15.120000","USD","23.166100","","-0.008525","-0.023886","-0.031460","0.009814","-0.002314","-0.007642","-0.023886","0.782278","1.316610","","","2022-01-06"
"HK0000216926","11.000000","USD","14.007910","","-0.006682","-0.018649","-0.020909","-0.090430","-0.170244","-0.200513","-0.018649","0.144034","0.400791","","","2022-01-06"
"HK0000216926","11.074000","USD","14.102140","6198807606.57","-0.013628","-0.010114","-0.022204","-0.084311","-0.170100","-0.199217","-0.012048","0.151730","0.410214","","","2022-01-05"
"HK0000216942","11.064000","HKD","14.089250","","-0.005929","-0.018697","-0.020858","-0.088649","-0.166667","-0.195667","-0.018697","0.139402","0.408925","","","2022-01-06"
"HK0000216942","11.130000","HKD","14.173290","6198807606.57","-0.013561","-0.010311","-0.021994","-0.083213","-0.167266","-0.194917","-0.012844","0.146198","0.417329","","","2022-01-05"
"HK0000252152","159.260000","HKD","159.260000","","0.000000","-0.018610","-0.037471","-0.068655","-0.185079","-0.253317","-0.018610","0.511579","0.474766","","","2022-01-06"
"HK0000252160","187.190000","HKD","218.143380","","-0.000053","-0.018663","-0.042898","-0.083480","-0.197857","-0.265115","-0.018663","0.487974","1.182962","","","2022-01-06"
"HK0000264884","25.590000","USD","25.590000","","-0.005828","-0.024027","-0.038331","-0.046217","-0.157947","-0.137513","-0.024027","0.639334","1.559000","","","2022-01-06"
"HK0000264884","25.740000","USD","25.740000","1481656835.78","-0.023891","-0.006561","-0.047372","-0.046313","-0.151895","-0.126273","-0.018307","0.648943","1.574000","","","2022-01-05"
"HK0000283223","16.620000","HKD","17.140170","","0.001204","-0.055145","-0.084347","-0.117817","-0.255780","-0.263738","-0.055145","0.529007","0.714017","","","2022-01-06"
"HK0000283249","16.530000","USD","17.049090","","0.000606","-0.054888","-0.084260","-0.119296","-0.259091","-0.267965","-0.054888","0.534572","0.704909","","","2022-01-06"
"HK0000284007","10.811000","USD","10.811000","","-0.003043","-0.008420","-0.013010","-0.051708","-0.062806","-0.074908","-0.008420","0.001549","-0.013010","","","2022-01-06"
"HK0000284015","11.042100","USD","11.042100","","-0.003043","-0.008379","-0.012785","-0.051089","-0.061644","-0.072622","-0.008379","0.013967","0.104210","","","2022-01-06"
"HK0000294535","10.029000","HKD","10.029000","","0.000499","-0.006046","-0.002189","-0.001195","0.006221","-0.000897","-0.006046","0.002900","0.002900","","","2022-01-06"
"HK0000301942","14.427900","USD","15.244710","","-0.002123","-0.003343","0.007114","-0.014338","-0.034756","0.008733","-0.003343","0.479537","0.524471","","","2022-01-06"
"HK0000306685","13.503000","HKD","15.343340","","-0.000666","-0.033346","-0.052562","-0.060858","-0.208177","-0.175971","-0.033346","0.774151","0.534334","","","2022-01-06"
"HK0000306701","13.537000","USD","15.380200","","-0.001476","-0.033543","-0.052438","-0.062532","-0.211640","-0.181060","-0.033543","0.781526","0.539097","","","2022-01-06"
"HK0000312378","148.390000","USD","148.390000","","-0.008685","-0.063431","-0.109197","-0.140914","-0.311575","-0.413525","-0.063431","0.422723","0.483900","","","2022-01-06"
