fundISINCode,nav,currency,fqNav,fundAssetsSize,returnRatio1D,returnRatio1W,returnRatio1M,returnRatio3M,returnRatio6M,returnRatio1Y,returnRatioYTD,ReturnRatio3Y,returnRatioTotal,sevenRR,unitYield,reportDate
"HK0000312386","144.250000","USD","144.250000","","-0.008727","-0.063494","-0.109238","-0.140960","-0.311587","-0.413546","-0.063494","0.422724","0.430342","","","2022-01-06"
"HK0000316452","2.153000","USD","2.153000","","-0.017344","-0.031924","-0.027113","-0.024909","-0.096896","-0.180434","-0.031924","0.950181","1.153000","","","2022-01-06"
"HK0000320223","17.684000","HKD","17.684000","","-0.000622","-0.033344","-0.052558","-0.060860","-0.208167","-0.176032","-0.033344","0.774255","0.768400","","","2022-01-06"
"HK0000320264","17.664000","USD","17.664000","","-0.001526","-0.033539","-0.052411","-0.062520","-0.211640","-0.181047","-0.033539","0.781903","0.766400","","","2022-01-06"
"HK0000323219","0.887000","USD","1.091990","","0.000000","0.000000","-0.007832","-0.049303","-0.090205","-0.094776","0.000000","0.087163","0.091990","","","2022-01-06"
"HK0000349503","14.484000","USD","14.484000","","-0.005493","-0.010994","-0.008285","-0.016767","-0.046854","-0.055371","-0.010994","0.115355","0.445076","","","2022-01-06"
"HK0000349503","14.564000","USD","14.564000","2106206867.21","0.002271","-0.001577","-0.002329","-0.019655","-0.041211","-0.049905","-0.005531","0.121515","0.453058","","","2022-01-05"
"HK0000349511","9.626000","HKD","14.463960","","-0.004859","-0.011253","-0.008820","-0.014851","-0.043186","-0.049690","-0.011253","0.110124","0.446396","","","2022-01-06"
"HK0000349511","9.673000","HKD","14.534580","2106206867.21","0.002487","-0.001932","-0.002240","-0.018281","-0.037859","-0.044959","-0.006426","0.115544","0.453458","","","2022-01-05"
"HK0000349529","8.670000","USD","27.978530","","-0.005506","-0.010996","-0.008292","-0.016748","-0.046856","-0.055415","-0.010996","0.115327","1.979609","","","2022-01-06"
"HK0000349529","8.718000","USD","28.133420","2106206867.21","0.002299","-0.001664","-0.002347","-0.019654","-0.041166","-0.049887","-0.005521","0.121502","1.996104","","","2022-01-05"
"HK0000349545","15.211000","HKD","15.211000","","-0.008862","-0.013618","-0.004581","-0.062669","-0.132683","-0.147413","-0.013618","0.055953","0.521100","","","2022-01-06"
"HK0000349545","15.347000","HKD","15.347000","2882241813.17","0.000522","-0.004282","0.007351","-0.063865","-0.129643","-0.141234","-0.004799","0.065394","0.534700","","","2022-01-05"
"HK0000349552","15.172000","USD","15.172000","","-0.009596","-0.013332","-0.004135","-0.064092","-0.135892","-0.151976","-0.013332","0.060905","0.517200","","","2022-01-06"
"HK0000349552","15.319000","USD","15.319000","2882241813.17","0.001111","-0.003513","0.007630","-0.065002","-0.132363","-0.145384","-0.003772","0.071184","0.531900","","","2022-01-05"
"HK0000349560","8.042000","HKD","15.248530","","-0.008874","-0.013573","-0.004003","-0.062323","-0.131929","-0.146623","-0.013573","0.056214","0.524853","","","2022-01-06"
"HK0000349560","8.114000","HKD","15.385050","2882241813.17","0.000987","-0.003287","0.007761","-0.063621","-0.129106","-0.140932","-0.004741","0.065670","0.538505","","","2022-01-05"
"HK0000349578","8.010000","USD","15.186950","","-0.009644","-0.013414","-0.004170","-0.064109","-0.135889","-0.152006","-0.013414","0.060617","0.518695","","","2022-01-06"
"HK0000349578","8.088000","USD","15.334840","2882241813.17","0.001114","-0.003441","0.007639","-0.065013","-0.132314","-0.145347","-0.003806","0.070945","0.533484","","","2022-01-05"
"HK0000352945","15.211000","HKD","15.211000","","-0.002492","-0.009378","-0.090523","-0.118254","-0.223612","-0.107912","-0.009378","0.346821","0.521100","","","2022-01-06"
"HK0000352960","14.841000","USD","14.841000","","-0.003291","-0.009345","-0.090848","-0.121626","-0.232309","-0.122665","-0.009345","0.335703","0.484100","","","2022-01-06"
"HK0000360880","10.980000","USD","12.489330","","-0.005435","-0.024056","-0.038558","-0.046190","-0.159201","-0.142652","-0.024056","0.629025","0.248933","","","2022-01-06"
"HK0000360880","11.040000","USD","12.557580","1481656835.78","-0.023873","-0.006380","-0.047459","-0.046745","-0.153323","-0.131981","-0.018723","0.637927","0.255758","","","2022-01-05"
"HK0000360898","10.940000","HKD","12.446900","","-0.004549","-0.023288","-0.038711","-0.044738","-0.155261","-0.135894","-0.023288","0.627831","0.244690","","","2022-01-06"
"HK0000360898","10.990000","HKD","12.503780","1481656835.78","-0.024845","-0.007324","-0.047684","-0.045349","-0.150101","-0.125846","-0.018825","0.635270","0.250378","","","2022-01-05"
"HK0000365384","106.262000","USD","106.262000","","0.000009","0.000075","0.000264","0.000678","0.001310","0.002888","0.000047","0.040367","0.062620","0.003926","0.094108","2022-01-06"
"HK0000369188","10.832000","HKD","10.832000","","0.000554","0.000924","0.004731","0.005850","0.013189","0.006037","0.000924","0.073432","0.083200","","","2022-01-06"
"HK0000369196","10.838000","USD","10.838000","","-0.000461","0.000646","0.004821","0.003983","0.008749","-0.000092","0.000646","0.077979","0.083800","","","2022-01-06"
"HK0000369725","13.890000","HKD","13.890000","","-0.002155","-0.009979","-0.017680","-0.025947","-0.119214","-0.116974","-0.009979","0.562430","0.389000","","","2022-01-06"
"HK0000369725","14.160000","HKD","14.030000","875303376.25432","0.000000","0.000713","-0.016129","-0.042321","-0.129653","-0.084801","-0.084801","0.553710","0.403000","","","2021-12-31"
"HK0000383858","75.390000","HKD","75.390000","","-0.007896","-0.063362","-0.109076","-0.139384","-0.308666","-0.410048","-0.063362","-0.260592","-0.260592","","","2022-01-06"
"HK0000384526","115.333000","HKD","115.333000","","-0.008647","-0.018476","-0.005913","-0.058798","-0.091823","-0.082562","-0.018476","0.153330","0.153330","","","2022-01-06"
"HK0000384534","79.830000","HKD","79.830000","","-0.008717","-0.018492","-0.013446","-0.079610","-0.131716","-0.161608","-0.018492","-0.201700","-0.201700","","","2022-01-06"
"HK0000414901","10.480000","USD","10.480000","","-0.001905","-0.008515","-0.009452","-0.039413","-0.045537","-0.060932","-0.008515","0.008662","0.008662","","","2022-01-06"
"HK0000414935","12.040000","USD","12.040000","","-0.002486","-0.008237","-0.009053","-0.037570","-0.040637","-0.051221","-0.008237","0.192079","0.204000","","","2022-01-06"
"HK0000416062","16.300000","HKD","16.300000","","-0.019254","-0.045108","-0.035503","-0.016295","-0.154564","-0.178427","-0.045108","1.092426","0.630000","","","2022-01-06"
"HK0000416062","17.070000","HKD","17.070000","1433874981.87145","0.005893","0.002938","-0.027904","-0.015571","-0.146927","-0.110938","-0.117373","1.191271","0.707000","","","2021-12-30"
"HK0000439601","10.759100","USD","10.759100","","-0.001781","-0.002078","0.000260","-0.008067","-0.013180","-0.004386","-0.002078","0.075910","0.075910","","","2022-01-06"
"HK0000439627","10.729700","HKD","10.729700","","-0.000885","-0.001870","0.000196","-0.006334","-0.008849","0.001746","-0.001870","0.072970","0.072970","","","2022-01-06"
"HK0000464252","1035.050000","HKD","1035.050000","","0.000004","0.000053","0.000223","0.000395","0.000679","0.001719","0.000027","0.033623","0.035050","0.002771","0.038646","2022-01-06"
"HK0000467222","10.340000","USD","10.340000","","-0.000870","-0.000290","0.003299","-0.000773","0.002521","0.012039","-0.000290","0.033897","0.033897","","","2022-01-06"
"HK0000467263","104.224000","HKD","104.224000","","0.000048","-0.000106","0.003524","0.001124","0.006713","0.019605","-0.000106","0.042084","0.042084","","","2022-01-06"
"HK0000478872","10.084700","HKD","10.084700","","0.000010","0.000069","0.000238","0.000496","0.000933","0.002107","0.000069","0.008399","0.008399","0.003620","0.099161","2022-01-06"
"HK0000489945","10.038200","HKD","10.038200","","-0.000010","0.000130","0.000100","-0.000249","0.000618","0.000040","0.000000","0.003820","0.003820","0.006754","-0.099618","2022-01-06"
"HK0000500386","14.190000","USD","14.190000","","-0.001407","-0.018672","-0.037966","-0.070727","-0.188679","-0.257845","-0.018672","0.403561","0.403561","","","2022-01-06"
"HK0000554565","101.090000","HKD","109.485440","","-0.012889","-0.014121","-0.011141","-0.020665","-0.048150","-0.047001","-0.014121","0.094854","0.094854","","","2022-01-06"
"HK0000554565","102.410000","HKD","110.915070","380523117.77","-0.004568","0.000795","-0.003282","-0.012047","-0.036433","-0.037956","-0.001248","0.109151","0.109151","","","2022-01-05"
"HK0000616265","11.342000","USD","11.342000","","-0.001321","-0.001848","-0.000529","-0.003339","-0.001760","0.006299","-0.001848","0.134200","0.134200","","","2022-01-06"
"HK0000672128","101.710000","HKD","101.710000","","-0.000393","-0.000098","0.003057","-0.000098","0.009629","0.017100","-0.000098","0.017100","0.017100","","","2022-01-06"
"HK0000672136","101.620000","HKD","101.620000","","-0.000197","0.000000","0.003159","-0.000295","0.008735","0.016200","0.000000","0.016200","0.016200","","","2022-01-06"
"HK0000773033","10.017390","HKD","10.017390","","0.000018","0.000127","0.000536","0.001639","0.001739","0.001739","0.000101","0.001739","0.001739","0.006611","0.179691","2022-01-06"
"IE0000829568","26.220000","USD","181.181010","64739465.56","-0.004934","-0.011685","-0.026365","-0.028889","-0.051031","-0.109152","-0.012057","0.068629","16.176812","","","2022-01-06"
"IE0000829568","26.350000","USD","182.079310","65096205.11","0.000380","-0.010886","-0.018987","-0.030180","-0.047016","-0.105947","-0.007159","0.073928","16.261975","","","2022-01-05"
"IE0000830129","142.920000","USD","160.850690","226751497.33","-0.012642","-0.026165","-0.032363","-0.034911","-0.117996","-0.074352","-0.035758","0.765419","14.319113","","","2022-01-06"
"IE0000830129","144.750000","USD","162.910280","229923560.5","-0.022224","-0.017045","-0.033905","-0.043987","-0.106261","-0.062318","-0.023411","0.788024","14.515265","","","2022-01-05"
"IE0008368742","231.057400","USD","231.057400","","-0.005830","-0.017865","-0.008881","0.016162","-0.106350","-0.121384","-0.029200","0.609035","22.105740","","","2022-01-06"
"IE0008368742","232.412300","USD","232.412300","3805830206.42","-0.012440","-0.011247","-0.022370","0.010683","-0.104781","-0.108906","-0.023507","0.618470","22.241230","","","2022-01-05"
"IE0008369823","84.860400","USD","84.860400","","-0.001606","-0.002590","-0.005299","-0.014426","-0.133004","-0.086984","-0.010008","0.271888","7.486040","","","2022-01-06"
"IE0008369823","84.996900","USD","84.996900","165622423.18","-0.011033","-0.007550","-0.023595","-0.024194","-0.136027","-0.081190","-0.008416","0.273934","7.499690","","","2022-01-05"
"IE00B0MD9M11","14.390000","USD","19.183110","","-0.002081","-0.006216","-0.008976","-0.010338","-0.014707","-0.027736","-0.006216","0.110227","0.918311","","","2022-01-06"
"IE00B0MD9M11","14.480000","USD","19.303090","14037251647.41","0.000000","-0.000027","-0.000716","-0.004148","-0.005830","-0.022967","-0.022967","0.120536","0.930309","","","2021-12-31"
"IE00B0MD9S72","11.090000","USD","22.240220","","-0.007162","-0.013345","-0.011553","-0.021065","-0.034370","-0.038981","-0.014222","0.151675","1.224022","","","2022-01-06"
"IE00B0MD9S72","11.250000","USD","22.561090","4708788803.2","0.000890","0.003595","0.014357","-0.012987","-0.021276","-0.031604","-0.031604","0.179312","1.256109","","","2021-12-31"
"IE00B11XYX59","46.720000","USD","46.720000","","-0.006803","-0.012262","-0.011217","-0.020545","-0.034112","-0.038683","-0.013722","0.152442","1.134308","","","2022-01-06"
"IE00B11XYX59","47.370000","USD","47.370000","4708788803.2","0.001480","0.003814","0.014347","-0.013125","-0.020876","-0.031882","-0.031882","0.178945","1.164002","","","2021-12-31"
"IE00B11XZ210","30.780000","USD","30.780000","","-0.001946","-0.006135","-0.009015","-0.010289","-0.015040","-0.027795","-0.005814","0.110790","0.903525","","","2022-01-06"
"IE00B11XZ210","30.960000","USD","30.960000","14037251647.41","-0.000323","-0.000646","-0.001290","-0.004822","-0.006418","-0.023344","-0.023344","0.119711","0.914657","","","2021-12-31"
"IE00B11XZ871","35.200000","USD","35.200000","","-0.003115","-0.006772","0.004280","0.000853","-0.003115","0.027737","-0.006772","0.205892","1.200000","","","2022-01-06"
"IE00B11XZ871","35.440000","USD","35.440000","3923909031.69","0.000000","0.002262","0.018976","0.002546","0.006818","0.035047","0.035047","0.230556","1.215000","","","2021-12-31"
"IE00B193MK07","13.860000","USD","24.123120","","-0.003594","-0.009292","-0.006599","-0.011530","-0.020733","-0.015341","-0.010000","0.180754","1.301824","","","2022-01-06"
"IE00B193MK07","14.000000","USD","24.366780","16435366038.7","0.000715","0.001294","0.009190","-0.006479","-0.008069","-0.009528","-0.009528","0.199307","1.325074","","","2021-12-31"
"IE00B193ML14","11.160000","USD","24.090100","","-0.002681","-0.005348","0.004239","0.001557","-0.000410","0.019004","-0.006234","0.197021","1.347963","","","2022-01-06"
"IE00B193ML14","11.230000","USD","24.241210","5169310432.56","0.000891","0.002483","0.018724","0.002483","0.007637","0.026304","0.026304","0.216292","1.362691","","","2021-12-31"
"IE00B193MN38","10.700000","USD","23.918320","","-0.002796","-0.006499","0.004633","0.000909","-0.003494","0.027037","-0.006499","0.206116","1.196356","","","2022-01-06"
"IE00B193MN38","10.770000","USD","24.074790","3923909031.69","0.000000","0.001885","0.018787","0.001885","0.006706","0.034712","0.034712","0.229916","1.210725","","","2021-12-31"
"IE00B1D7YK27","24.170000","USD","24.170000","","-0.003710","-0.009426","-0.007392","-0.011856","-0.021061","-0.015879","-0.010238","0.179600","1.260992","","","2022-01-06"
"IE00B1D7YK27","24.420000","USD","24.420000","16435366038.7","0.000820","0.001230","0.008674","-0.006913","-0.008526","-0.010134","-0.010134","0.198822","1.284378","","","2021-12-31"
"IE00B1D7YM41","25.040000","USD","25.040000","","-0.002390","-0.005955","0.004412","0.001600","-0.000798","0.019129","-0.005955","0.196941","1.309963","","","2022-01-06"
"IE00B1D7YM41","25.190000","USD","25.190000","5169310432.56","0.000000","0.001590","0.018189","0.002388","0.007600","0.026487","0.026487","0.216321","1.323801","","","2021-12-31"
"IE00B3BC9V92","149.750000","USD","167.685840","226751497.33","-0.012594","-0.026016","-0.031747","-0.033185","-0.114848","-0.067791","-0.035613","0.803131","14.957466","","","2022-01-06"
"IE00B3BC9V92","151.660000","USD","169.824610","229923560.5","-0.022242","-0.016791","-0.033335","-0.042309","-0.103134","-0.055725","-0.023313","0.826129","15.160997","","","2022-01-05"
"IE00B464Q616","8.190000","USD","14.811450","","-0.004860","-0.008475","-0.006392","-0.032506","-0.055940","-0.057255","-0.009674","0.133315","0.481145","","","2022-01-06"
"IE00B464Q616","8.270000","USD","14.956130","360906351.95","0.001210","0.000893","-0.001515","-0.033232","-0.048868","-0.049099","-0.049099","0.145792","0.495613","","","2021-12-31"
"IE00B5TLWC47","2.840900","USD","2.840900","","-0.016377","-0.021324","0.034484","0.061542","0.052029","0.156624","-0.019297","0.722802","1.840900","","","2022-01-05"
"IE00B7JY6H00","1614.560000","USD","1614.560000","1876496860.34","-0.004611","-0.027174","-0.041480","-0.040637","-0.203233","-0.225683","-0.044266","0.597309","0.955999","","","2022-01-06"
"IE00B7JY6H00","1622.040000","USD","1622.040000","1887377925.18","-0.028189","-0.036936","-0.062903","-0.052309","-0.203121","-0.207768","-0.039838","0.604709","0.965061","","","2022-01-05"
"IE00BDCJY700","1.027300","USD","1.027300","","-0.001652","-0.006095","-0.016373","-0.006480","-0.014486","-0.001070","-0.007631","0.027300","0.027300","","","2022-01-05"
"IE00BF47CT44","13.276600","USD","13.276600","","-0.004521","-0.002412","0.007016","0.000188","-0.002112","0.033858","-0.003266","0.357220","0.327660","","","2022-01-06"
"IE00BF47CT44","13.336900","USD","13.336900","175010675.73","0.000398","0.004360","0.010670","0.000728","0.002624","0.038732","0.001261","0.363385","0.333690","","","2022-01-05"
"IE00BFM0L103","116.900000","USD","116.900000","","-0.000598","-0.000598","0.010197","0.006977","0.011071","0.051259","-0.000684","0.212781","0.169000","","","2022-01-06"
"IE00BFM0L103","116.970000","USD","116.970000","1762192091.95","-0.000342","0.001541","0.012552","0.005329","0.012201","0.052551","-0.000085","0.213508","0.169700","","","2022-01-05"
"IE00BFM0L210","93.270000","USD","116.908210","","-0.000643","-0.000628","0.010239","0.006970","0.011130","0.051259","-0.000628","0.212961","0.169082","","","2022-01-06"
"IE00BFM0L210","93.330000","USD","116.983410","1762192091.95","-0.000321","0.001508","0.012633","0.005379","0.012204","0.052598","0.000015","0.213741","0.169834","","","2022-01-05"
"IE00BFMH9K60","106.600000","USD","106.600000","","-0.006801","-0.010673","-0.006431","-0.015697","-0.034945","-0.046853","-0.011407","0.066000","0.066000","","","2022-01-06"
"IE00BFMH9K60","107.330000","USD","107.330000","1688116846.91","-0.001117","-0.001303","0.001960","-0.010875","-0.028688","-0.047480","-0.004637","0.073300","0.073300","","","2022-01-05"
"IE00BFMH9L77","94.470000","USD","106.208910","","-0.006833","-0.010722","-0.006475","-0.015779","-0.034909","-0.046903","-0.011444","0.062089","0.062089","","","2022-01-06"
"IE00BFMH9L77","95.120000","USD","106.939680","1688116846.91","-0.001050","-0.001312","0.001935","-0.010939","-0.028656","-0.047383","-0.004642","0.069397","0.069397","","","2022-01-05"
"IE00BGSXQR19","9.470000","USD","9.470000","","-0.008377","-0.011482","-0.008377","-0.058648","-0.119888","-0.122335","-0.012513","-0.053000","-0.053000","","","2022-01-06"
"IE00BGSXQR19","9.590000","USD","9.590000","3410797566.87","0.001044","0.001044","-0.005187","-0.067121","-0.116129","-0.111214","-0.111214","-0.041000","-0.041000","","","2021-12-31"
"IE00BGSXQS26","8.730000","USD","9.964180","","-0.009081","-0.012443","-0.007773","-0.059136","-0.120081","-0.123139","-0.012443","-0.003582","-0.003582","","","2022-01-06"
"IE00BGSXQS26","8.840000","USD","10.089730","3410797566.87","0.000000","0.000203","-0.005397","-0.067192","-0.115970","-0.111237","-0.111237","0.008973","0.008973","","","2021-12-31"
"IE00BGSXSD13","8.690000","HKD","9.918470","","-0.006857","-0.011377","-0.007828","-0.056398","-0.115389","-0.116114","-0.011377","-0.008153","-0.008153","","","2022-01-06"
"IE00BGSXSD13","8.790000","HKD","10.032610","3410797566.87","0.000000","0.000180","-0.005451","-0.065634","-0.112283","-0.105943","-0.105943","0.003261","0.003261","","","2021-12-31"
"IE00BKBMHV44","106.020000","HKD","106.020000","","-0.006466","-0.010546","-0.006466","-0.014134","-0.030896","-0.041584","-0.011100","0.060200","0.060200","","","2022-01-06"
"IE00BKBMHV44","106.710000","HKD","106.710000","1688116846.91","-0.000656","-0.001404","0.002160","-0.009468","-0.024678","-0.042444","-0.004664","0.067100","0.067100","","","2022-01-05"
"IE00BKBMHW50","94.260000","HKD","106.093150","","-0.006325","-0.010517","-0.006363","-0.013911","-0.030766","-0.040917","-0.011034","0.060932","0.060932","","","2022-01-06"
"IE00BKBMHW50","94.860000","HKD","106.768470","1688116846.91","-0.000737","-0.001505","0.002065","-0.009373","-0.024694","-0.041947","-0.004739","0.067685","0.067685","","","2022-01-05"
